	241	129	241	129	b0b0b0
	288	293	288	293	808080
	460	319	460	319	d0d0d0
	535	398	535	398	808080
	155	217	155	217	
	590	333	590	333	d0d0d0
	239	361	239	361	
	515	285	515	285	808080
	589	418	589	418	d0d0d0
	542	78	542	78	b0b0b0
	357	3	357	3	d0d0d0
	520	44	520	44	b0b0b0
	282	7	282	7	808080
	244	408	244	408	
	140	70	140	70	b0b0b0
	297	202	297	202	d0d0d0
	583	398	583	398	
	515	46	515	46	
	590	186	590	186	b0b0b0
	313	85	313	85	d0d0d0
	228	383	228	383	
	513	364	513	364	808080
	555	218	555	218	
	314	217	314	217	b0b0b0
	582	427	582	427	
	568	79	568	79	d0d0d0
	555	268	555	268	b0b0b0
	288	0	288	480	005000
	536		536		
	128	212	608	212	
		460		460	
triangle	363	235	371	243	00c000
rect	505	65	513	73	0060c0
	566	358	574	366	
	542	262	550	270	
	510	138	518	146	
	516	113	524	121	
triangle	518	115	522	119	0060c0
rect	513	103	521	111	0060c0
	541	292	549	300	
	547	253	555	261	
triangle	549	256	553	260	0060c0
rect	544	275	552	283	0060c0
triangle	546	277	550	281	0060c0
rect	537	214	545	222	0060c0
	519	146	527	154	
diamond	523	206	539	222	0060c0
rect	533	212	541	220	0060c0
	537	220	545	228	
	531	239	539	247	
		234		242	
	529	196	537	204	
	533	192	541	200	
triangle	525	181	529	185	0060c0
rect	536	271	544	279	0060c0
triangle	538	273	542	277	0060c0
diamond	528	234	544	250	0060c0
rect	520	171	528	179	0060c0
	518	159	526	167	
	541	299	549	307	
		265		273	
triangle	543	267	547	271	0060c0
rect	520	142	528	150	0060c0
	522	138	530	146	
	544	294	552	302	
	547	319	555	327	
	514	102	522	110	
	505	112	513	120	
triangle	507	114	511	118	0060c0
rect	498	60	506	68	0060c0
	509	70	517	78	
	553	343	561	351	
	505	61	513	69	
	509	62	517	70	
	499	42	507	50	
	496	29	504	37	
	562	382	570	390	
	568	397	576	405	
	498	-2	506	6	
		7		15	
	580	424	588	432	
diamond	567	424	583	440	0060c0
rect	582	446	590	454	0060c0
	580	442	588	450	
diamond	576	431	592	447	0060c0
plus	348	222	358	232	00c000
	353	230	363	240	
	357	231	367	241	
line	536	344	529	330	489048
			521	344	
	529	330			204020
draw	0	0	128	480	/pictures/501.png
	608		640		/pictures/512.png
tint	29	159	35	171	ff0000	/fonts/computer/31
	35		41			/fonts/computer/35
	41		47			/fonts/computer/30
	102		108		ff7f00	
	108		114			
	114		120			/fonts/computer/35
line	614	456	614	359	007fff
		359	622		
	622			456	00488f
		456	614		
rect	615	360	622	456	0070e0
line	614	243	614	231	909048
		231	622		
	622			243	505028
		243	614		
rect	615	232	622	243	707038
line	614	328	614	244	ffff7f
		244	622		
	622			328	909048
		328	614		
rect	615	245	622	328	e0e070
line	614	200	614	103	ff7f7f
		103	622		
	622			200	904848
		200	614		
rect	615	104	622	200	e07070
	634	49	636	52	7fff7f
		53		56	60c060
		57		60	
		61		64	
		65		68	
		69		72	7fff7f
		73		76	60c060
		77		80	
		81		84	
		85		88	
		89		92	7fff7f
		93		96	60c060
		97		100	
		101		104	
		105		108	
		109		112	7fff7f
		113		116	60c060
		117		120	
		121		124	
		125		128	
		129		132	7fff7f
		133		136	60c060
		137		140	
		141		144	
		145		148	
		149		152	183018
		153		156	
		157		160	
		161		164	
		165		168	
		169		172	
		173		176	
		177		180	
		181		184	
		185		188	
		189		192	
		193		196	
		197		200	
		201		204	
		205		208	
		209		212	
		213		216	
		217		220	
		221		224	
		225		228	
		229		232	
		233		236	
		237		240	
		241		244	
		245		248	
		249		252	
		253		256	
		257		260	
		261		264	
		265		268	
		269		272	
		273		276	
		277		280	
		281		284	
		285		288	
		289		292	
		293		296	
		297		300	
		301		304	
		305		308	
		309		312	
		313		316	
		317		320	
		321		324	
		325		328	
		329		332	
		333		336	
		337		340	
		341		344	
		345		348	
		349		352	
		353		356	
		357		360	
		361		364	
		365		368	
		369		372	
		373		376	
		377		380	
		381		384	
		385		388	
		389		392	
		393		396	
		397		400	
		401		404	
		405		408	
		409		412	
		413		416	
		417		420	
		421		424	
		425		428	
		429		432	
		433		436	
		437		440	
		441		444	
		445		448	
	621	52	631	56	303000
		57		61	
		62		66	
		67		71	
		72		76	
		77		81	
		82		86	
	7	7	115	115	00ff00
	8	8	114	114	001000
					003000
point	25	28	00e000
	37	49	
	47	52	
rect	12	320	121	440	001000
line	12	330	119	330	009000
tint	15	320	21	332	00ff00	/fonts/computer/4d
	21		27			/fonts/computer/41
	27		33			/fonts/computer/49
	33		39			/fonts/computer/4e
	39		45			/fonts/computer/20
	45		51			/fonts/computer/4d
	51		57			/fonts/computer/45
	57		63			/fonts/computer/4e
	63		69			/fonts/computer/55
line	12	343	12	332	009000
		332	120		
	120			343	005000
		343	12		
rect	13	333	120	343	007000
tint	15	332	21	344	00ff00	/fonts/computer/3c
	21		27			/fonts/computer/42
	27		33			/fonts/computer/75
	33		39			/fonts/computer/69
	39		45			/fonts/computer/6c
	45		51			/fonts/computer/64
	51		57			/fonts/computer/3e
	15	344	21	356		/fonts/computer/3c
	21		27			/fonts/computer/53
	27		33			/fonts/computer/70
	33		39			/fonts/computer/65
	39		45			/fonts/computer/63
	45		51			/fonts/computer/69
	51		57			/fonts/computer/61
	57		63			/fonts/computer/6c
	63		69			/fonts/computer/20
	69		75			/fonts/computer/4f
	75		81			/fonts/computer/72
	81		87			/fonts/computer/64
	87		93			/fonts/computer/65
	93		99			/fonts/computer/72
	99		105			/fonts/computer/73
	105		111			/fonts/computer/3e
	15	356	21	368		/fonts/computer/3c
	21		27			/fonts/computer/4d
	27		33			/fonts/computer/65
	33		39			/fonts/computer/73
	39		45			
	45		51			/fonts/computer/61
	51		57			/fonts/computer/67
	57		63			/fonts/computer/65
	63		69			/fonts/computer/3e
	15	368	21	380		/fonts/computer/3c
	21		27			/fonts/computer/4d
	27		33			/fonts/computer/69
	33		39			/fonts/computer/73
	39		45			
	45		51			/fonts/computer/69
	51		57			/fonts/computer/6f
	57		63			/fonts/computer/6e
	63		69			/fonts/computer/20
	69		75			/fonts/computer/53
	75		81			/fonts/computer/74
	81		87			/fonts/computer/61
	87		93			/fonts/computer/74
	93		99			/fonts/computer/75
	99		105			/fonts/computer/73
	105		111			/fonts/computer/3e
line	12	438	119	438	009000
rect	16	450	114	475	001010
line	17	461	17	450	00c0c0
		450	43		
	43			461	007070
		461	17		
rect	18	451	43	461	009090
tint	19	450	25	462	00ffff	/fonts/computer/52
